"ID";"Month";"Year";"Age";"Gender";"HHIncome";"HHSize";"RelationshipL";"DM";"TV_Adv";"Facebook_Adv";"Publicity";"Web_Visits";"Facebook_Page_Views";"churnD"
10569;12;2012;43;"Female";36943;2;0;0;21567.49;29841.4574185985;35;4340;333;0
10569;1;2013;44;"Female";36943;2;1;0;227.99;32299.6803871535;36;6837;320;1
13228;1;2012;72;"Female";23296;2;0;0;0;42143.8078486965;23;9336;368;0
13228;2;2012;72;"Female";23296;2;1;0;0;28065.7554776411;22;8716;381;1
13516;1;2012;33;"Male";26272;2;0;0;0;42143.8078486965;23;9336;368;0
13516;2;2012;33;"Male";26272;2;1;0;0;28065.7554776411;22;8716;381;0
13516;3;2012;33;"Male";26272;2;2;0;0;5089.66476175808;37;9765;339;0
13516;4;2012;33;"Male";26272;2;3;1;0;15368.256729146;41;7323;364;0
13516;5;2012;33;"Male";26272;2;4;0;0;1071.69364882015;31;3664;324;0
13516;6;2012;33;"Male";26272;2;5;1;0;64722.2626677355;33;6346;360;0
13516;7;2012;33;"Male";26272;2;6;1;0;15975.365383563;23;9113;362;0
13516;8;2012;33;"Male";26272;2;7;1;0;30797.7586980616;52;7784;273;0
13516;9;2012;33;"Male";26272;2;8;0;0;17986.6546148108;46;9607;370;0
13516;10;2012;33;"Male";26272;2;9;1;10500;3902.54193570821;59;8346;418;0
13516;11;2012;33;"Male";26272;2;10;1;7320;42437.215213263;41;9064;357;0
13516;12;2012;33;"Male";26272;2;11;1;21567.49;29841.4574185985;35;4340;333;0
13516;1;2013;34;"Male";26272;2;12;0;227.99;32299.6803871535;36;6837;320;0
13516;2;2013;34;"Male";26272;2;13;0;0;29589.8443095443;28;6857;446;0
13516;3;2013;34;"Male";26272;2;14;1;0;40616.310095759;44;9088;363;0
13516;4;2013;34;"Male";26272;2;15;1;0;24323.0454231263;43;7824;253;0
13516;5;2013;34;"Male";26272;2;16;0;0;33204.8954039564;62;9024;415;0
13516;6;2013;34;"Male";26272;2;17;1;13386.25;28284.4727852959;32;9568;333;0
13516;7;2013;34;"Male";26272;2;18;1;1160;40060.9718232836;33;8450;396;0
13516;8;2013;34;"Male";26272;2;19;1;16848;13607.0519158419;28;5888;363;0
13516;9;2013;34;"Male";26272;2;20;0;18998;24964.4842183003;27;3844;330;0
13516;10;2013;34;"Male";26272;2;21;1;0;15014.7595014839;47;6772;323;0
13516;11;2013;34;"Male";26272;2;22;0;42229.6;6394.38493375176;24;5467;326;0
13516;12;2013;34;"Male";26272;2;23;1;57048.64;53578.7239213706;58;10177;399;0
13516;1;2014;35;"Male";26272;2;24;0;0;42228.9838713102;50;6876;349;0
13516;2;2014;35;"Male";26272;2;25;1;0;2140.77355458183;46;8727;339;0
13516;3;2014;35;"Male";26272;2;26;1;5700;6052.41461768391;59;9710;327;0
13516;4;2014;35;"Male";26272;2;27;0;0;9095.19581736356;36;5840;423;0
13516;5;2014;35;"Male";26272;2;28;0;0;44708.202627986;77;9844;379;0
13516;6;2014;35;"Male";26272;2;29;1;13386.25;50995.9161147744;42;8588;331;0
13516;7;2014;35;"Male";26272;2;30;1;14600;9026.25141029171;24;7657;371;0
13516;8;2014;35;"Male";26272;2;31;1;0;614.375570992743;33;8779;275;0
